"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.100.X1","224.0.0.251","MDNS","91","Standard query PTR _airplay._tcp.local, PTR _raop._tcp.local"
"2","0.621555859","192.168.100.X2","224.0.0.251","IGMPv2","60","Membership Report group 224.0.0.251"
"3","1.023755931","192.168.100.X1","224.0.0.251","MDNS","91","Standard query PTR _airplay._tcp.local, PTR _raop._tcp.local"
"4","1.124046424","192.168.100.X2","224.0.0.252","IGMPv2","60","Membership Report group 224.0.0.252"
"5","4.107336522","192.168.100.X1","224.0.0.251","MDNS","91","Standard query PTR _airplay._tcp.local, PTR _raop._tcp.local"
"6","5.220997246","192.168.100.X3","224.0.0.251","MDNS","119","Standard query PTR _googlecast._tcp.local"
"7","10.647249378","192.168.100.X4","224.0.0.251","MDNS","119","Standard query PTR _googlecast._tcp.local"
"8","11.058397150","192.168.100.X5","224.0.0.251","MDNS","119","Standard query PTR _googlecast._tcp.local"
"9","12.798436232","XX:XX:XX:XX:XX:XX","Broadcast","ARP","60","Who has 192.168.100.1? Tell 192.168.100.X3"
"10","13.107126411","192.168.100.X1","224.0.0.251","MDNS","91","Standard query PTR _airplay._tcp.local"
"11","17.717692098","XX:XX:XX:XX:XX:XX","Broadcast","ARP","60","Who has 192.168.100.1? Tell 192.168.100.X4"
"12","21.495917541","192.168.100.X6","34.107.243.93","TLSv1.2","105","Application Data"
"13","21.498668041","192.168.100.X6","34.107.243.93","TLSv1.2","90","Application Data"
"14","21.499053841","192.168.100.X6","34.107.243.93","TCP","66","[FIN, ACK]"
"15","21.749823825","34.107.243.93","192.168.100.X6","TCP","66","[ACK]"
"16","21.750342924","34.107.243.93","192.168.100.X6","TCP","78","[ACK]"
"17","21.750375324","34.107.243.93","192.168.100.X6","TCP","66","[FIN, ACK]"
"18","21.750408724","34.107.243.93","192.168.100.X6","TCP","66","[ACK]"
"19","21.750515624","192.168.100.X6","34.107.243.93","TCP","66","[Dup ACK]"
"20","21.750884524","192.168.100.X6","34.107.243.93","TCP","66","[ACK]"
